FIPS,NAME,STATE,OMB,pAGE65,pLTHS,pPOV,SE,NBBND,HHAD,DNS,UPS,INFA,DDI
01001,Autauga,Alabama,Metropolitan,0.1384,0.1383,0.1303,30.23,0.2546,3,25.0617,2.5549,55.99,38.37
01003,Baldwin,Alabama,Metropolitan,0.1872,0.1097,0.1287,35.01,0.3161,3,23.1205,11.0150,56.69,42.00
01005,Barbour,Alabama,Noncore,0.1652,0.2543,0.2216,58.57,0.9477,3,12.4329,2.1722,73.06,68.82
01007,Bibb,Alabama,Metropolitan,0.1475,0.2210,0.1626,44.71,0.9921,2,9.8784,2.1096,82.92,66.47
01009,Blount,Alabama,Metropolitan,0.1703,0.2194,0.1734,49.67,0.7614,2,14.3563,2.2688,77.21,65.81
01011,Bullock,Alabama,Noncore,0.1477,0.3448,0.2936,74.39,0.9970,2,10.3699,1.9048,83.02,86.12
01013,Butler,Alabama,Noncore,0.1796,0.2342,0.2460,61.78,0.9855,2,14.4246,1.8485,82.43,77.40
01015,Calhoun,Alabama,Metropolitan,0.1593,0.1992,0.1993,48.84,0.7341,3,21.1866,2.5977,67.37,58.49
01017,Chambers,Alabama,Micropolitan,0.1834,0.2253,0.2106,57.08,0.2283,3,29.5503,2.8761,54.99,55.39
01019,Cherokee,Alabama,Noncore,0.2093,0.2050,0.1834,55.82,0.7791,1,13.9104,2.0959,86.30,76.13
01021,Chilton,Alabama,Metropolitan,0.1519,0.2247,0.1793,47.92,0.9015,2,12.1531,1.9172,80.66,67.04
01023,Choctaw,Alabama,Noncore,0.2081,0.2594,0.2478,69.48,0.9977,1,9.8569,2.0175,91.69,88.85
01025,Clarke,Alabama,Noncore,0.1803,0.1988,0.2470,58.19,0.5928,2,18.3703,3.1054,72.91,68.47
01027,Clay,Alabama,Noncore,0.1942,0.2514,0.1915,59.34,0.6327,2,15.2308,2.0766,74.19,70.11
01029,Cleburne,Alabama,Noncore,0.1839,0.2467,0.1677,54.19,0.9997,1,9.2793,1.8537,91.80,78.84
01031,Coffee,Alabama,Micropolitan,0.1596,0.1687,0.1654,41.38,0.4313,3,18.4229,9.3558,59.90,48.42
01033,Colbert,Alabama,Metropolitan,0.1852,0.1637,0.1656,45.12,0.2730,3,22.4909,4.1987,56.45,48.51
01035,Conecuh,Alabama,Noncore,0.2042,0.2399,0.3037,73.62,0.6763,2,15.0670,2.6912,75.15,80.19
01037,Coosa,Alabama,Micropolitan,0.1867,0.2411,0.1828,55.92,0.3149,2,26.5236,2.5804,65.89,62.13
01039,Covington,Alabama,Noncore,0.1977,0.2002,0.2053,56.07,0.9990,2,11.2935,1.9508,82.98,74.01
01041,Crenshaw,Alabama,Noncore,0.1797,0.2314,0.2100,57.07,0.5159,2,15.8146,8.5783,70.77,66.25
01043,Cullman,Alabama,Micropolitan,0.1762,0.1845,0.1700,46.44,0.2981,3,24.8680,2.4596,57.02,49.77
01045,Dale,Alabama,Micropolitan,0.1535,0.1528,0.2195,45.33,0.3399,2,19.4919,11.0660,66.15,55.32
01047,Dallas,Alabama,Micropolitan,0.1563,0.2232,0.3473,69.24,0.2135,2,24.5279,2.4483,63.72,69.43
01049,DeKalb,Alabama,Noncore,0.1570,0.2687,0.2374,60.72,0.2172,3,22.7370,2.3420,55.33,58.04
01051,Elmore,Alabama,Metropolitan,0.1401,0.1283,0.1341,29.89,0.9484,4,16.2884,2.3255,64.12,43.75
01053,Escambia,Alabama,Noncore,0.1663,0.2145,0.2286,55.29,0.4242,2,21.3672,3.4273,68.74,63.68
01055,Etowah,Alabama,Metropolitan,0.1731,0.1792,0.1865,47.38,0.0900,3,25.7016,4.3618,51.95,46.90
01057,Fayette,Alabama,Noncore,0.1958,0.2390,0.2034,59.73,0.9923,1,10.3064,1.9203,91.53,82.32
01059,Franklin,Alabama,Noncore,0.1590,0.2559,0.2286,58.58,0.3741,2,19.4963,2.2929,67.85,65.24
01061,Geneva,Alabama,Metropolitan,0.1919,0.2193,0.2360,60.98,0.9977,2,12.3774,2.0504,82.85,77.16
01063,Greene,Alabama,Noncore,0.1791,0.2493,0.3296,73.68,0.9998,2,9.9050,2.1816,83.09,85.70
01065,Hale,Alabama,Metropolitan,0.1734,0.2055,0.2764,61.39,0.5640,2,24.9412,9.8381,71.01,69.27
01067,Henry,Alabama,Metropolitan,0.2074,0.2047,0.1703,53.85,0.5636,2,14.8560,2.9011,72.54,65.35
01069,Houston,Alabama,Metropolitan,0.1611,0.1571,0.1983,44.43,0.2679,3,23.2245,4.5964,56.23,47.91
01071,Jackson,Alabama,Micropolitan,0.1856,0.2472,0.2174,60.65,0.3494,3,25.0243,8.0144,57.61,59.56
